Polymer,Property,Value
polymeric,,
cellulose,,
starch,,
polyester,,
epoxy,tensile strength,384.78 MPa
Epoxy,,
biopolymers,,
aramid,,
polysaccharide,,
Poly,,
Polypropene,,
polyethylene,,
polyoxymethylene,,
EPOXY,,
polypropylene,,
polystyrene,,
polymerizable,,
polymerization,,
polymeric,,
polymerized,,
postpolymerization,,
copolymerization,,
copolymers,,
acrylic,,
homopolymers,,
copolymerized,,
copolymer,,
Polymerizable,,
polycyclic,,
Copolymerized,,
copolymerizing,,
Homopolymers,,
homopolymerization,,
polyacrylic,,
polyurea,,
copolymerizations,,
PolyFluor,,
Polyscience,,
homopolymer,,
terpolymer,,
polymorphisms,,
Copolymers,,
polyamides,,
polyacetylene,,
polymerizing,,
Homopolymer,,
polymerizations,,
Polymerization,,
Polysiloxane,,
Polyurea,,
Terpolymer,,
photopolymerization,,
Polymeric,,
polymeric,,
Polymeric,,
polymerization,,
epoxy,,
polyesters,,
polyamides,,
polyketones,,
copolymerization,,
polyether,,
copolymer,,
prepolymers,,
prepolymer,,
polyurethanes,,
silicone,,
polybutadiene,,
polystyrene,,
polycarbonate,,
polyurethane,,
polyethylene,,
cellulose,elastic modulus,88 GPa
polyvinyl,,
Cellulose,,
polymorphs,,
Polyvinyl,,
cellulose,tensile strength,30.1 MPa
cellulose,tensile strength,30.1 MPa
polypropylene,,
polymeric,,
Cellulose,,
polyethylene,,
homopolymer,,
polyethylene,,
polylactic,,
polycaprolactone,,
polyurethane,,
polyurethanes,,
polyester,,
polyols,,
epoxy,,
polylactic,,
polybutylene,,
polymerization,,
polyvinylpyrrolidone,,
Polyurethane,,
melamine,,
Polyhedral,,
Copolymer,,
Polyrotaxanes,,
Polymeric,,
Polytechnic,,
Polymerforschung,,
polymeric,,
polyrotaxanes,,
polyhedral,,
polymerization,,
polyolefins,,
polystyrene,,
polypropylene,,
copolymers,,
polymerized,,
poly,,
polydispersity,,
polydienes,,
Polypropylene,,
polysilanes,,
acrylic,,
Polyacrylate,,
copolymer,,
polysiloxane,,
polyundecyloxy,,
polyimide,,
Polyacrylates,,
nylon,,
polysiloxanes,,
postpolymerization,,
polycarbonate,,
polycarbonates,,
polyesters,,
polyethers,,
Polyarenefullerenes,,
photopolymerization,,
Polyether,,
copolycarbonates,,
Polycarbonate,,
Polyester,,
Polyethers,,
Polyphosphate,,
Polystyrene,,
polyester,,
copolymers,,
polylactide,,
starch,,
polymerization,,
biopolymers,,
polystyrene,density,30 °C
biopolymer,,
polyethylene,density,30 °C
polyethylene,density,30 °C
polymerizing,,
stereocopolymers,,
polymerized,,
polyhydroxybutyrate,,
polycondensation,,
homopolymers,viscosity,55 °C
copolymer,,
depolymerization,,
polyesters,,
acrylic,,
polydispersity,,
Copolymer,,
polylactic,,
Polyglycerol,tensile strength,64 °C
Polyethylene,,
Polycarbodiimide,,
Polyvinyl,Tensile strength,210 °C
Poly,,
Starch,,
Polycarbonate,,
Copolymerization,,
polymeric,,
copolymerized,,
Copolymers,,
Polymeric,,
polydilactide,,
polysaccharides,,
nylon,,
Biopolymers,,
Polylactide,,
PolyUMod,,
Polyesters,,
polystyrene,,
polymethylpentene,,
polytetrafluoroethylene,,
polymeric,,
polyethylenes,,
Polymatic,,
polymerization,,
polysulfone,,
polysulfones,,
Poly,,
Polystyrene,,
Polyethersulfone,,
Polyethylenes,,
Epoxy,,
polypropylene,,
polyimide,,
copolyimides,,
polyethylene,,
poly,,
polybutylene,,
copolymers,,
biopolymer,,
polysaccharide,,
cellulose,,
Polyethylene,,
polymeric,,
depolymerization,,
polycaprolactone,,
polylactide,,
polymorphism,,
polylactides,,
polylactic,,
Polypropylene,,
polyester,,
Polylactide,,
epoxy,,
Poly,,
polyhedral,,
polyurethanes,,
